,index,0,1,2
363,571,RT doyoungly i really love how taeyong always take good care of winwin like hes his own baby boy haha httpstcoqWKNqDtSZg,😑,0.0
364,572,JuanVar24799770 love of god,😑,0.0
365,573,RT CFFBooks THE GAMBLERS a thriller about money love friendship amp trust  RT asmsg pdf1 ian1 httpstcoja41nzsSM4 httpstcoEIq,😑,0.0
366,574,RT DalGriffin Happy Birthday Kailey Jane Life would be every dull wo you Love you more than you could ever imagine httpstcoAu83s3,😑,0.0
367,577,YONGSUN I LOVE U BUT U GOTTA DROP THE CROCS httpstcoO9h7yfJDDY,😑,0.0
368,578,RT Paedeezy Aaaaaaah maaaaan I love Shatta wale,😑,0.0
369,579,RT romanticquo Being in love with someone is the greatest feeling in the universe,😑,0.0
370,580,readers who remember golden childhoods will love it BACKWARDS INTO THE FUTURE NewZealand novel httpstcopN50G5081s bookboost,😑,0.0
371,583,httpstco38aEJCkvQg httpstco,😑,0.0
372,584,RT PakshetILikeHer And thats how you know you really love them you forgive Even if they didnt apologize,😑,0.0
373,585,RT julieemari10 aryn914 tbh  I love you bby,😑,0.0
374,587,MTVHottest Ariana Grande httpstcotlnE8h0Cxp,😑,0.0
375,588,alessiacara troyesivan the new wild video is literally what happened when youth and wild things had a love child Its amazing,😑,0.0
376,589,RT blobyblo We would love to httpstcoqPHXfuLg3s,😑,0.0
377,590,They need to play Shy Glizzy x Funeral at Fye funeral cause thats just how its gone be Lol I love that boy,😑,0.0
379,594,BUT WE DONT KNOW IF HE HAS A BIG DICK,😑,0.0
380,595,RT perfectcoupIes Cheating is the most disgusting hurtful and disrespectful thing you could do to someone you say you love amp care about,😑,0.0
381,596,RT annetheyogurt when the love you have for each other is more important that winning Lily Aldrin,😑,0.0
382,598,nixki_m love you too shorty mcshortshort,😑,0.0
383,604,nightcore ihateu,😑,0.0
384,605,RT Nolan_Duda Love my job so much,😑,0.0
385,606,RT m_nelson42 My TeenChoice for ChoiceFemaleArtist will forever and always be taylorswift13 Love you,😑,0.0
386,607,6YearsOfOneDirection love NiallOfficial Louis_Tomlinson Harry_Styles Real_Liam_Payne httpstcomKCLoewvZZ,😑,0.0
